,source,title,episodes,score,favorites,genres,start_date,total_duration
170,manga,Naruto,220.0,7.97,70739,"['Action', 'Adventure', 'Fantasy']",2002-10-03,5148
171,original,Tenkuu no Shiro Laputa,1.0,8.27,3680,"['Adventure', 'Fantasy', 'Romance', 'Sci-Fi']",1986-08-02,124
172,4_koma_manga,K-On!!,26.0,8.17,13710,['Comedy'],2010-04-07,637
173,light_novel,86,11.0,8.25,12529,"['Action', 'Drama', 'Sci-Fi']",2021-04-11,260
174,light_novel,Tate no Yuusha no Nariagari,25.0,8.01,25359,"['Action', 'Adventure', 'Drama', 'Fantasy']",2019-01-09,600
175,light_novel,Yahari Ore no Seishun Love Comedy wa Machigatteiru.,13.0,8.02,26613,"['Comedy', 'Romance']",2013-04-05,312
176,manga,Bakuman. 3rd Season,25.0,8.54,2872,"['Comedy', 'Drama', 'Romance']",2012-10-06,612
177,original,Great Pretender,23.0,8.26,8687,"['Action', 'Adventure', 'Mystery']",2020-07-09,529
178,manga,Kobayashi-san Chi no Maid Dragon S,12.0,8.36,5588,"['Fantasy', 'Slice of Life']",2021-07-08,284
179,light_novel,86 Part 2,12.0,8.71,9444,"['Action', 'Drama', 'Sci-Fi']",2021-10-03,284
180,original,Vivy: Fluorite Eye's Song,13.0,8.44,9021,"['Action', 'Sci-Fi', 'Suspense']",2021-04-03,318
181,manga,Kaichou wa Maid-sama!,26.0,8.02,21289,"['Comedy', 'Romance']",2010-04-02,628
182,light_novel,Violet Evergarden Gaiden: Eien to Jidou Shuki Ningyou,1.0,8.41,1279,"['Drama', 'Fantasy', 'Slice of Life']",2019-09-06,91
183,web_manga,Made in Abyss Movie 3: Fukaki Tamashii no Reimei,1.0,8.66,2806,"['Adventure', 'Drama', 'Fantasy', 'Mystery', 'Sci-Fi']",2020-01-17,105
184,manga,Kaze no Tani no Nausicaä,1.0,8.36,4520,"['Adventure', 'Fantasy']",1984-03-11,117
185,visual_novel,Clannad,23.0,8.01,26551,"['Drama', 'Romance', 'Supernatural']",2007-10-05,563
186,manga,Noragami,12.0,7.96,31302,"['Action', 'Fantasy']",2014-01-05,288
187,manga,Shokugeki no Souma: San no Sara,12.0,8.03,2581,"['Ecchi', 'Gourmet']",2017-10-04,288
188,original,Odd Taxi,13.0,8.73,6644,['Mystery'],2021-04-06,309
189,manga,Gintama': Enchousen,13.0,9.04,2813,"['Action', 'Comedy', 'Sci-Fi']",2012-10-04,316
190,manga,Ping Pong the Animation,11.0,8.62,14149,"['Drama', 'Sports']",2014-04-11,253
191,manga,Boku no Hero Academia,13.0,7.93,51886,['Action'],2016-04-03,318
192,manga,Bakuman.,25.0,8.2,9111,"['Comedy', 'Drama', 'Romance']",2010-10-02,612
193,manga,Bakuman. 2nd Season,25.0,8.36,1327,"['Comedy', 'Drama', 'Romance']",2011-10-01,612
194,original,Cowboy Bebop: Tengoku no Tobira,1.0,8.38,1317,"['Action', 'Sci-Fi']",2001-09-01,115
195,manga,5-toubun no Hanayome ∬,12.0,8.12,10723,"['Comedy', 'Romance']",2021-01-08,289
196,manga,Bungou Stray Dogs 3rd Season,12.0,8.21,4329,"['Action', 'Mystery', 'Supernatural']",2019-04-12,276
197,manga,Rurouni Kenshin: Meiji Kenkaku Romantan,94.0,8.29,9565,"['Action', 'Adventure', 'Comedy', 'Romance']",1996-01-10,2350
198,manga,Kobayashi-san Chi no Maid Dragon,13.0,7.99,16244,"['Fantasy', 'Slice of Life']",2017-01-12,312
199,manga,Black Lagoon: The Second Barrage,12.0,8.18,2797,['Action'],2006-10-03,288
200,original,Darker than Black: Kuro no Keiyakusha,25.0,8.07,15946,"['Action', 'Mystery', 'Sci-Fi']",2007-04-06,600
201,light_novel,Katanagatari,12.0,8.33,10398,"['Action', 'Adventure', 'Romance']",2010-01-26,600
202,music,Shelter (Music),1.0,8.31,2407,['Sci-Fi'],2016-10-18,6
203,manga,Magi: The Labyrinth of Magic,25.0,8.02,8586,"['Action', 'Adventure', 'Fantasy']",2012-10-07,600
204,manga,Boku no Hero Academia 4th Season,25.0,7.94,8053,['Action'],2019-10-12,601
205,manga,Black Lagoon,12.0,8.03,16107,['Action'],2006-04-09,294
206,visual_novel,Fate/stay night Movie: Heaven's Feel - III. Spring Song,1.0,8.71,6950,"['Action', 'Fantasy', 'Supernatural']",2020-08-15,122
207,original,Bakemono no Ko,1.0,8.27,2982,"['Adventure', 'Supernatural']",2015-07-11,119
208,manga,Hajime no Ippo: New Challenger,26.0,8.66,1587,['Sports'],2009-01-07,598
209,web_manga,ReLIFE,13.0,7.99,9159,"['Drama', 'Romance', 'Slice of Life']",2016-07-02,307
210,manga,Houseki no Kuni (TV),12.0,8.4,11473,"['Action', 'Drama', 'Fantasy', 'Mystery']",2017-10-07,288
211,manga,Dragon Ball,153.0,7.96,13596,"['Adventure', 'Comedy', 'Fantasy']",1986-02-26,3774
212,original,FLCL,6.0,8.03,26998,"['Action', 'Avant Garde', 'Comedy', 'Sci-Fi']",2000-04-26,150
213,4_koma_manga,K-On! Movie,1.0,8.35,2507,"['Comedy', 'Slice of Life']",2011-12-03,110
214,manga,JoJo no Kimyou na Bouken (TV),26.0,7.91,33502,"['Action', 'Adventure', 'Supernatural']",2012-10-06,624
